person_id,sex,race,age,juv_fel_count,juv_misd_count,juv_other_count,priors_count,c_charge_degree,c_charge_desc,is_violent_recid
45,Male,Caucasian,55,0,0,0,0,(F3),arrest case no charge,1
48,Male,African-American,38,0,0,2,5,(F3),Burglary Structure Assault/Batt,1
49,Male,Caucasian,53,0,0,0,19,(F3),Fel Drive License Perm Revoke,1
51,Male,Caucasian,26,0,0,2,6,(M2),Operating W/O Valid License,1
52,Female,Caucasian,33,0,0,0,4,(M1),Battery,1
55,Male,Caucasian,29,0,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,1
56,Female,African-American,21,0,0,0,2,(F2),arrest case no charge,1
57,Male,African-American,51,0,0,0,2,(M1),Unlaw Use False Name/Identity,1
61,Female,African-American,51,0,0,0,7,(F3),Possession of Cocaine,1
62,Male,Caucasian,28,0,0,0,8,(F3),Possession of Cocaine,1
63,Male,African-American,36,0,0,0,22,(M1),Burglary Dwelling Occupied,1
64,Male,African-American,29,0,0,0,0,(F3),Defrauding Innkeeper $300/More,1
65,Male,Other,29,0,0,0,0,(M1),Battery,1
66,Male,Caucasian,25,0,0,0,9,(M1),Battery,2
67,Male,African-American,35,1,0,4,13,(F3),Uttering a Forged Instrument,2
68,Male,Caucasian,49,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,1
69,Male,African-American,34,0,0,0,4,(M2),Driving License Suspended,1
71,Male,Caucasian,29,0,0,0,1,(F3),Possession of Oxycodone,1
72,Female,Other,28,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1
73,Male,Caucasian,51,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1
74,Male,Caucasian,25,0,0,0,0,(F3),Possession of Cocaine,1
77,Female,Hispanic,63,0,0,0,1,(F1),arrest case no charge,1
78,Male,African-American,30,0,0,1,3,(F3),Possession of Cocaine,1
80,Male,African-American,24,0,0,0,2,(F3),Poss Tetrahydrocannabinols,1
81,Male,African-American,27,0,0,0,0,(F3),Felony Driving While Lic Suspd,1
82,Male,Caucasian,32,0,0,0,3,(F3),Tampering With Physical Evidence,1
83,Male,Hispanic,30,0,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,1
84,Male,African-American,49,0,0,0,4,(M1),Battery,1
85,Male,Caucasian,53,0,0,0,8,(F3),arrest case no charge,1
86,Female,Hispanic,31,0,0,0,0,(M1),Battery,1
88,Male,African-American,63,0,0,0,10,(M1),Possess Drug Paraphernalia,1
89,Male,African-American,33,0,0,0,2,(F2),Agg Battery Grt/Bod/Harm,1
90,Male,African-American,27,1,1,2,15,(F3),Driving While License Revoked,1
91,Male,Caucasian,38,0,0,0,4,(M1),Battery,1
92,Male,Caucasian,46,3,1,0,9,(F3),Grand Theft in the 3rd Degree,1
93,Male,African-American,22,0,0,1,1,(F3),Poss Firearm W/Altered ID#,1
94,Female,Caucasian,34,0,0,0,0,(M1),Battery,1
95,Male,African-American,22,0,1,2,2,(F3),Sell Conterfeit Cont Substance,1
96,Male,African-American,29,0,0,0,4,(F3),arrest case no charge,1
97,Male,Hispanic,62,0,0,0,0,(M2),Unlaw LicTag/Sticker Attach,1
98,Male,African-American,27,0,1,0,6,(F2),Aggravated Battery / Pregnant,1
99,Male,Other,33,0,0,0,0,(M1),Battery,1
100,Female,African-American,56,0,0,0,0,(M1),Battery,1
101,Male,Hispanic,45,0,0,0,6,(F3),Possession of Cocaine,2
102,Male,Hispanic,22,0,0,0,1,(F3),Burglary Structure Unoccup,1
103,Female,Caucasian,31,0,0,0,2,(F3),Felony Driving While Lic Suspd,1
104,Male,African-American,34,0,0,0,0,(F3),False Imprisonment,1
105,Male,African-American,39,0,0,0,1,(M1),arrest case no charge,1
106,Male,African-American,24,0,1,0,4,(M1),Battery,1
107,Male,African-American,29,0,0,0,5,(F3),False Name By Person Arrest,1
108,Male,Caucasian,27,0,0,1,1,(F3),arrest case no charge,1
110,Female,Hispanic,24,0,0,0,1,(M2),DUI Property Damage/Injury,1
112,Male,African-American,51,0,0,0,1,(F3),arrest case no charge,1
113,Male,African-American,22,0,0,0,1,(M1),Battery,1
117,Female,African-American,59,0,0,0,2,(F3),arrest case no charge,1
118,Male,Caucasian,32,0,0,0,3,(M1),Driving Under The Influence,1
119,Male,African-American,32,0,0,0,0,(F3),Felony Battery (Dom Strang),1
120,Male,African-American,41,0,0,0,1,(M2),arrest case no charge,1
121,Male,Caucasian,50,0,0,0,0,(M1),Battery,1
126,Male,Caucasian,22,0,0,0,3,(F3),Burglary Conveyance Unoccup,1
127,Male,Other,50,0,0,0,0,(F3),arrest case no charge,1
130,Male,Other,20,0,0,0,0,(F3),Tampering With Physical Evidence,2
131,Male,African-American,22,1,0,0,2,(F3),Attempted Burg/struct/unocc,1
132,Male,African-American,23,0,0,1,2,(M2),arrest case no charge,1
134,Male,Caucasian,40,0,0,0,4,(F3),arrest case no charge,1
135,Male,African-American,25,0,0,0,10,(F2),arrest case no charge,1
136,Female,African-American,35,0,0,0,1,(M2),arrest case no charge,1
138,Male,Caucasian,26,0,0,0,7,(F3),Possession Burglary Tools,1
139,Male,Other,21,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1
141,Male,Caucasian,30,0,0,1,6,(F3),Burglary Conveyance Unoccup,1
142,Male,Caucasian,25,0,0,0,9,(F3),Pos Cannabis W/Intent Sel/Del,2
143,Male,African-American,71,0,0,0,12,(M1),Possess Cannabis/20 Grams Or Less,1
145,Female,Caucasian,20,0,0,0,0,(F3),Poss3;4 Methylenedioxymethcath,1
146,Male,Caucasian,39,0,0,0,2,(F3),Possession Of Alprazolam,1
147,Male,Caucasian,66,0,0,0,3,(F2),Flee/Elude LEO-Agg Flee Unsafe,1
148,Female,Caucasian,54,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,1
151,Male,African-American,19,0,0,0,1,(M2),Battery,2
153,Male,African-American,30,0,0,0,1,(F3),Fail To Redeliv Hire/Leas Prop,1
155,Female,African-American,32,0,0,0,8,(M1),Battery,1
156,Male,Caucasian,24,0,1,2,8,(F3),False Ownership Info/Pawn Item,1
157,Male,Caucasian,30,0,0,0,0,(F3),Possession Of Methamphetamine,1
159,Female,Caucasian,39,0,0,0,1,(F3),Possession of Morphine,1
160,Male,African-American,59,0,0,0,14,(F3),arrest case no charge,2
161,Male,Caucasian,35,0,0,0,7,(F3),Felony Driving While Lic Suspd,1
162,Female,Other,24,0,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,1
163,Male,Caucasian,43,0,0,0,1,(F3),Possession of Cocaine,1
165,Female,African-American,21,0,0,0,0,(M1),Battery,1
167,Male,African-American,27,0,0,0,0,(F3),Driving While License Revoked,1
168,Male,African-American,20,0,0,0,0,(F3),arrest case no charge,1
169,Male,Caucasian,38,0,0,0,5,(M1),Possess Cannabis/20 Grams Or Less,1
171,Male,Caucasian,34,0,0,0,0,(F3),Aggravated Assault w/Firearm,1
172,Male,African-American,30,0,0,0,3,(F3),Possession of Cocaine,1
173,Male,African-American,33,0,0,0,5,(F3),Poss Contr Subst W/o Prescript,1
174,Male,African-American,37,0,0,0,3,(F3),Poss3;4 Methylenedioxymethcath,1
175,Male,Caucasian,42,0,0,0,1,(F3),Aggrav Stalking After Injunctn,1
176,Male,African-American,41,0,1,0,10,(F3),Possession of Cocaine,1
178,Male,African-American,33,0,12,2,28,(F3),Driving While License Revoked,1
179,Male,Caucasian,44,0,0,0,0,(M2),Criminal Mischief Damage <$200,1
181,Male,African-American,26,0,0,0,9,(F3),Felony Driving While Lic Suspd,1
182,Female,Other,30,0,0,0,1,(F3),Crim Use of Personal ID Info,1
185,Female,Caucasian,31,0,0,0,1,(F3),Grand Theft (Motor Vehicle),1
186,Male,Hispanic,47,0,0,0,2,(F3),Grand Theft in the 3rd Degree,1
187,Male,African-American,56,0,0,0,8,(F3),arrest case no charge,1
189,Male,Caucasian,52,0,0,0,3,(M1),Battery,1
190,Male,African-American,33,0,0,0,19,(F3),arrest case no charge,1
192,Female,Caucasian,64,0,0,0,2,(M1),Resist/Obstruct W/O Violence,1
193,Male,Caucasian,22,0,0,0,4,(F3),Possession Of Alprazolam,1
194,Male,Caucasian,42,0,0,0,6,(F3),Possession Of Alprazolam,1
195,Female,Caucasian,25,0,0,0,2,(F3),arrest case no charge,1
196,Male,Caucasian,27,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1
197,Male,Caucasian,30,0,0,0,1,(M2),Agg Fleeing and Eluding,1
199,Male,Caucasian,28,0,0,0,2,(F3),arrest case no charge,1
200,Female,Other,37,0,0,0,2,(M2),Petit Theft,1
201,Male,Caucasian,21,0,0,0,1,(F3),Possession of Cannabis,1
202,Male,Caucasian,28,0,0,0,0,(M2),Disorderly Intoxication,1
203,Female,African-American,24,0,0,0,0,(M1),Battery,1
205,Male,African-American,22,0,0,0,0,(F2),Burglary Unoccupied Dwelling,1
206,Female,Caucasian,29,0,1,0,10,(F3),Grand Theft in the 3rd Degree,1
208,Male,Caucasian,44,0,0,0,2,(M1),Battery,1
209,Female,Hispanic,30,0,0,0,4,(F3),Battery on Law Enforc Officer,2
211,Male,Hispanic,53,0,0,0,1,(F3),Resist Officer w/Violence,1
212,Male,Other,34,0,0,0,1,(M1),Battery,1
213,Male,Caucasian,31,0,0,0,2,(M1),Resist/Obstruct W/O Violence,1
214,Male,African-American,27,0,0,0,5,(F3),Possession of Cocaine,1
215,Male,African-American,31,0,0,0,1,(M2),Lewdness Violation,1
216,Male,Caucasian,59,0,0,0,1,(F3),Possession of Cocaine,1
218,Female,Caucasian,45,0,0,0,4,(F3),arrest case no charge,1
219,Male,Caucasian,23,0,0,0,0,(M1),Driving Under The Influence,1
220,Female,African-American,20,1,0,0,1,(F3),arrest case no charge,1
222,Female,Caucasian,43,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,1
223,Male,African-American,38,1,1,0,9,(F3),Possession of Cocaine,1
224,Male,African-American,32,0,0,0,11,(F3),Poss Pyrrolidinovalerophenone,2
225,Male,African-American,33,0,0,0,8,(M2),Assault,2
226,Male,African-American,55,0,0,0,4,(MO3),arrest case no charge,1
227,Female,African-American,31,0,0,0,0,(F3),Possession of Oxycodone,1
228,Female,African-American,33,0,0,0,7,(F3),Possession of Cocaine,1
229,Male,African-American,27,0,0,0,2,(F3),Tampering With Physical Evidence,1
230,Male,African-American,52,0,0,0,0,(M2),Assault,1
231,Female,African-American,20,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1
233,Male,African-American,25,0,0,0,4,(M1),Burglary Dwelling Occupied,1
234,Female,African-American,61,0,0,0,1,(F3),Solicit Purchase Cocaine,1
236,Male,Hispanic,63,0,0,0,1,(F3),arrest case no charge,1
238,Female,African-American,32,0,0,0,4,(F3),arrest case no charge,2
239,Male,Hispanic,29,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1
240,Female,Other,46,0,0,0,1,(F1),Grand Theft in the 1st Degree,1
241,Female,African-American,26,0,0,0,2,(M1),Driving Under The Influence,1
242,Male,African-American,55,0,0,0,3,(M1),Battery,1
243,Male,Caucasian,39,1,0,0,1,(X),,1
244,Female,Caucasian,30,0,0,0,3,(F3),Possession Of Carisoprodol,1
245,Male,African-American,30,0,0,0,1,(F7),Burglary Conveyance Assault/Bat,1
246,Male,Caucasian,48,0,0,0,2,(M1),Battery,1
247,Male,Caucasian,33,0,0,0,0,(M1),Felony Battery (Dom Strang),1
248,Male,African-American,22,0,0,0,1,(F3),arrest case no charge,1
249,Male,Caucasian,46,0,0,0,6,(F3),Driving While License Revoked,1
251,Female,Caucasian,49,0,0,0,6,(F3),Crim Use of Personal ID Info,1
252,Male,Caucasian,31,0,0,0,0,(F3),Deliver 3;4 Methylenediox,1
254,Male,African-American,25,0,0,0,1,(M1),Battery,1
255,Male,African-American,31,0,0,0,3,(F7),Burglary Dwelling Armed,1
256,Female,African-American,21,0,0,0,0,(M1),Battery,1
258,Female,African-American,32,0,0,0,5,(F3),Aggravated Assault W/dead Weap,1
259,Male,Hispanic,52,0,0,0,2,(M2),Leave Acc/Attend Veh/More $50,1
260,Male,African-American,62,0,0,0,8,(F3),Possession of Cocaine,1
261,Male,African-American,30,0,0,0,2,(M1),Battery,1
264,Male,Hispanic,31,0,0,0,8,(F3),arrest case no charge,1
265,Male,African-American,28,0,0,0,6,(M1),Resist/Obstruct W/O Violence,2
266,Male,Hispanic,54,0,0,0,2,(F2),Burglary Unoccupied Dwelling,1
267,Male,Hispanic,58,0,0,0,0,(F3),Possession Of Heroin,1
268,Male,Caucasian,78,0,0,0,1,(M1),Driving Under The Influence,1
269,Male,Caucasian,56,0,0,0,0,(F3),Possession of Cocaine,1
270,Male,Hispanic,21,0,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,1
271,Male,Other,24,0,0,0,0,(F2),Burglary Unoccupied Dwelling,1
273,Male,African-American,39,0,0,0,3,(MO3),Poss Of Controlled Substance,1
274,Male,Caucasian,35,0,0,0,0,(F3),Possession of Cocaine,1
275,Male,African-American,22,0,0,0,1,(F3),Pos Cannabis W/Intent Sel/Del,1
277,Male,African-American,47,0,0,0,23,(M1),Possess Cannabis/20 Grams Or Less,1
279,Male,Hispanic,57,0,0,0,1,(F3),Driving While License Revoked,1
280,Female,Caucasian,38,0,0,0,2,(F3),Possession of Cocaine,1
281,Male,African-American,66,0,0,0,3,(F2),Agg Battery Grt/Bod/Harm,2
282,Male,Caucasian,45,0,0,0,8,(M1),Viol Injunct Domestic Violence,1
283,Female,Caucasian,28,0,0,0,0,(M1),Petit Theft $100- $300,1
284,Male,Other,45,0,0,0,2,(F3),Unlaw Fail Secur Work Comp Ins,1
286,Male,African-American,32,0,0,0,13,(F2),Poss Cocaine/Intent To Del/Sel,1
287,Male,African-American,37,0,0,0,2,(M1),Battery,2
288,Male,Caucasian,39,0,0,0,0,(F3),Possession Of Methamphetamine,1
289,Male,African-American,26,0,0,0,9,(F2),Deliver Cocaine,1
290,Male,African-American,25,0,0,0,3,(F3),arrest case no charge,1
292,Female,Caucasian,57,0,0,0,7,(F3),Possession of Cocaine,1
293,Male,African-American,23,0,0,0,0,(F3),Possession of Cannabis,2
294,Male,African-American,34,0,0,0,2,(M1),Battery,1
297,Female,African-American,23,0,0,0,1,(M1),Battery,1
298,Male,Other,36,0,0,0,2,(M1),Battery,1
299,Male,Caucasian,50,0,0,0,1,(F3),Sexual Performance by a Child,1
300,Female,Caucasian,37,0,0,0,0,(M2),Leaving Acc/Unattended Veh,1
301,Male,Caucasian,44,0,0,0,4,(M1),Battery,1
303,Male,Caucasian,31,0,0,0,1,(F1),arrest case no charge,1
304,Male,Other,24,0,0,0,5,(F3),arrest case no charge,1
305,Male,Asian,40,0,0,0,3,(F1),Robbery W/Firearm,1
306,Male,African-American,26,0,0,0,2,(F3),Fleeing Or Attmp Eluding A Leo,1
307,Male,Other,37,0,0,0,1,(F3),Felony DUI (level 3),1
308,Male,African-American,27,0,0,0,0,(M1),Criminal Mischief,1
309,Female,Caucasian,31,0,0,0,1,(M1),Battery,1
310,Female,African-American,28,0,0,0,0,(F2),Aggrav Battery w/Deadly Weapon,1
311,Male,Caucasian,43,0,0,0,11,(F3),arrest case no charge,2
313,Female,Caucasian,28,0,0,0,7,(F3),Felony Petit Theft,1
315,Male,African-American,38,0,0,0,2,(F3),Driving While License Revoked,1
316,Male,Caucasian,27,0,0,0,2,(M2),Trespass Struct/Conveyance,1
318,Male,African-American,21,1,0,0,1,(F3),Grand Theft in the 3rd Degree,1
320,Male,African-American,38,0,0,0,15,(F3),Possession of Cocaine,1
321,Male,African-American,28,0,0,0,2,(M1),Possess Cannabis/20 Grams Or Less,1
323,Male,Hispanic,28,0,0,0,0,(M1),DUI Property Damage/Injury,1
324,Female,Other,24,0,0,0,1,(F3),arrest case no charge,1
325,Male,Caucasian,61,0,0,0,1,(F3),arrest case no charge,1
326,Female,Caucasian,51,0,0,0,0,(M1),Driving Under The Influence,2
327,Male,Caucasian,51,0,0,0,0,(M1),Battery,1
328,Male,Caucasian,20,0,0,1,0,(F3),Poss Similitude of Drivers Lic,1
329,Male,Other,36,0,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,1
330,Male,African-American,48,0,0,0,0,(F3),Aggravated Battery (Firearm/Actual Possession),1
331,Male,Caucasian,37,0,0,0,4,(F3),arrest case no charge,1
333,Female,African-American,41,0,0,0,5,(M1),Battery,1
334,Male,African-American,27,0,0,0,11,(F2),Robbery / No Weapon,1
336,Male,Other,33,0,0,0,4,(F3),Aggravated Assault w/Firearm,1
337,Male,African-American,54,0,0,0,11,(F3),Grand Theft (Motor Vehicle),1
338,Male,African-American,23,0,0,0,2,(F1),Robbery / Weapon,1
339,Male,African-American,22,0,0,0,0,(F3),arrest case no charge,1
341,Female,African-American,26,0,0,0,2,(F7),arrest case no charge,1
342,Female,African-American,23,0,2,0,3,(F3),Aggravated Assault W/Dead Weap,1
344,Male,African-American,41,0,0,0,0,(M1),Battery,1
345,Male,Caucasian,52,0,0,0,0,(F3),Burglary With Assault/battery,1
347,Male,Caucasian,43,0,0,0,13,(F3),Driving While License Revoked,1
348,Male,African-American,52,0,0,0,0,(F3),Uttering a Forged Instrument,1
349,Male,Caucasian,28,0,0,0,1,(F3),arrest case no charge,1
350,Male,African-American,30,0,0,2,11,(M1),Battery,2
351,Male,Caucasian,28,0,0,0,1,(F3),Criminal Mischief,1
353,Female,African-American,34,0,0,0,0,(M1),Battery,1
354,Male,African-American,22,0,0,0,0,(F3),Pos Cannabis W/Intent Sel/Del,1
355,Male,African-American,30,0,0,0,4,(F3),Driving While License Revoked,1
356,Male,Hispanic,25,0,0,0,4,(F3),Possession of Cannabis,1
358,Male,Caucasian,37,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1
360,Male,African-American,26,0,1,0,4,(M1),Possess Cannabis/20 Grams Or Less,1
361,Male,Caucasian,53,0,0,0,1,(M1),Battery,1
363,Male,Caucasian,44,0,0,0,8,(M1),Battery,1
365,Female,Other,30,0,0,0,0,(M1),Battery,1
368,Female,African-American,20,0,0,0,0,(F3),Grand Theft in the 3rd Degree,1
370,Female,Caucasian,33,0,0,0,0,(F3),Poss Contr Subst W/o Prescript,1
371,Female,Caucasian,47,0,0,0,2,(F2),Deliver Cocaine,1
372,Female,Other,40,0,0,0,3,(F3),Driving While License Revoked,1
374,Male,Caucasian,36,0,0,0,8,(F3),Felony Driving While Lic Suspd,2
375,Male,Caucasian,30,0,0,0,4,(F3),False Imprisonment,1
376,Male,African-American,22,0,0,0,3,(M2),Prowling/Loitering,2
379,Female,Hispanic,31,0,0,0,0,(M1),Battery,1
381,Male,Hispanic,23,0,0,1,1,(F3),arrest case no charge,1
383,Male,Hispanic,24,0,0,0,0,(M1),Possess Cannabis/20 Grams Or Less,1
384,Male,African-American,29,0,0,0,1,(M1),Battery,1
385,Male,African-American,20,0,0,0,1,(F3),Carrying Concealed Firearm,2
387,Male,Caucasian,39,0,0,0,1,(M1),Battery,1
388,Male,African-American,38,0,0,0,1,(M1),Possess Cannabis/20 Grams Or Less,1
389,Male,Other,39,0,0,0,0,(F2),Throw In Occupied Dwell,1
391,Male,African-American,18,2,0,0,2,(F7),arrest case no charge,1
392,Male,Caucasian,31,0,0,0,2,(M1),arrest case no charge,1
394,Male,Caucasian,31,0,0,0,0,(F3),Possession of Cannabis,1
395,Male,African-American,27,0,0,0,2,(F3),Possession of Cocaine,1
396,Male,African-American,20,0,0,0,0,(F3),Possession Burglary Tools,1
398,Male,Hispanic,22,0,0,1,0,(F3),Poss3;4 Methylenedioxymethcath,1
399,Female,African-American,52,0,0,0,0,(F3),Burglary Conveyance Unoccup,1
400,Female,African-American,23,0,0,0,0,(F3),Carrying Concealed Firearm,1
401,Male,African-American,20,1,0,0,1,(F2),arrest case no charge,1
402,Female,African-American,48,0,0,0,0,(F3),Aggravated Assault W/Dead Weap,1
403,Male,African-American,66,0,0,0,8,(F2),Deliver Cocaine,1
404,Male,Caucasian,25,0,0,0,0,(F3),Deliver 3;4 Methylenediox,1
405,Male,Caucasian,27,0,0,0,0,(F3),Grand Theft in the 3rd Degree,2
406,Male,African-American,30,0,0,0,11,(F3),Unauth Poss ID Card or DL,1
407,Male,African-American,22,0,1,1,3,(M1),Battery,1
408,Female,Caucasian,22,0,0,0,1,(F3),Pos Cannabis W/Intent Sel/Del,1
409,Male,African-American,35,0,0,0,2,(F3),arrest case no charge,1
410,Male,Caucasian,32,0,0,0,2,(F3),arrest case no charge,1
411,Female,African-American,41,0,0,0,2,(M1),Battery on Law Enforc Officer,1
412,Male,Caucasian,35,0,0,0,9,(F3),Burglary Conveyance Unoccup,1
413,Male,African-American,43,0,0,0,0,(F2),Burglary Dwelling Occupied,1
414,Female,Other,25,0,0,0,0,(F3),Aggravated Assault W/Dead Weap,1
415,Male,African-American,44,0,0,0,24,(M1),Opert With Susp DL 2nd Offens,1
416,Male,African-American,52,0,0,0,3,(F3),Possession of Cocaine,1
417,Male,African-American,43,0,0,0,0,(F3),Felony Battery (Dom Strang),1
418,Male,African-American,37,0,0,0,0,(M1),DUI Level 0.15 Or Minor In Veh,1
420,Male,Other,47,0,0,0,1,(M1),Battery,1
421,Female,Caucasian,45,0,0,0,3,(F3),arrest case no charge,1
422,Male,African-American,23,0,0,0,2,(F3),arrest case no charge,1
424,Male,African-American,28,0,0,0,3,(M1),Possess Cannabis/20 Grams Or Less,2
425,Male,Caucasian,70,0,0,0,1,(M1),Battery,1
426,Male,Caucasian,54,0,0,0,6,(F3),Possession of Cocaine,1
427,Male,Caucasian,58,0,0,0,9,(M1),Battery,1
429,Male,African-American,21,0,0,0,0,(M2),Petit Theft,1
430,Male,African-American,26,0,0,0,1,(M1),Battery,2
431,Male,Hispanic,38,0,0,0,3,(F3),Crim Use of Personal ID Info,1
432,Male,Caucasian,34,0,0,0,5,(M1),Battery,1
434,Male,African-American,19,0,0,0,1,(F3),Grand Theft in the 3rd Degree,1
436,Female,African-American,32,0,0,0,3,(M1),Battery,1
438,Male,African-American,34,0,0,0,5,(F3),Possession of Oxycodone,1
439,Male,African-American,30,0,0,0,2,(F2),arrest case no charge,1
440,Male,African-American,39,0,0,0,6,(F2),Aggravated Battery / Pregnant,1
441,Male,Other,24,0,0,0,0,(F3),Failure To Return Hired Vehicle,1
442,Male,Caucasian,33,0,0,0,1,(M1),Driving Under The Influence,2
443,Male,Caucasian,33,0,0,0,0,(F3),Possession of Cocaine,1
444,Male,Caucasian,40,0,0,0,6,(M1),Viol Injunct Domestic Violence,1
445,Male,Caucasian,58,0,0,0,2,(F2),Agg Fleeing/Eluding High Speed,1
446,Female,African-American,21,0,0,0,0,(M1),Battery,1
447,Male,Asian,44,0,0,0,2,(F2),Sexual Battery / Vict 12 Yrs +,1
448,Male,African-American,56,0,0,0,13,(F3),Burglary Structure Unoccup,1
449,Male,Caucasian,27,0,0,0,1,(F3),Obstruct Officer W/Violence,1
450,Male,African-American,21,0,0,0,1,(F3),Attempted Robbery  No Weapon,1
451,Male,African-American,23,0,0,1,4,(M1),Possess Cannabis/20 Grams Or Less,1
454,Male,African-American,27,1,0,1,4,(M1),Possess Cannabis/20 Grams Or Less,1
456,Male,Caucasian,37,0,0,0,5,(F3),Battery on Law Enforc Officer,1
457,Male,Other,43,0,0,0,2,(F3),Grand Theft in the 3rd Degree,1
460,Female,African-American,33,0,0,0,2,(F3),arrest case no charge,1
461,Male,Hispanic,23,0,0,0,0,(F3),Burglary Conveyance Unoccup,1
462,Male,African-American,27,0,0,0,0,(M1),Battery,1
463,Male,Caucasian,44,0,0,0,0,(M1),Battery,1
464,Male,Caucasian,28,0,0,0,3,(M1),Battery,1
465,Female,Caucasian,42,0,0,0,0,(F3),Possession of Cocaine,1
466,Male,African-American,48,0,0,0,5,(F3),arrest case no charge,1
467,Male,Other,24,0,1,0,9,(F3),Resist Officer w/Violence,2
469,Male,African-American,20,0,0,0,0,(F3),Grand Theft (Motor Vehicle),1
471,Male,African-American,24,0,0,0,1,(F3),Crimin Mischief Damage $1000+,1
472,Male,Caucasian,31,2,0,0,6,(F3),Felony Petit Theft,1
473,Male,African-American,22,0,1,0,2,(F1),arrest case no charge,1
474,Female,Caucasian,51,0,0,0,0,(M1),Battery on Law Enforc Officer,1
475,Male,Caucasian,56,0,0,0,0,(M1),Battery On Parking Enfor Speci,1
476,Male,Caucasian,20,0,0,0,0,(M1),Battery,1
477,Male,African-American,54,0,0,0,1,(F3),Possession of Cocaine,1
478,Male,African-American,29,0,0,0,7,(F3),arrest case no charge,1
479,Male,Caucasian,42,0,0,0,0,(F2),Tampering With A Victim,1
481,Male,Caucasian,53,0,0,0,6,(F3),arrest case no charge,1
483,Male,Other,24,0,0,0,0,(F3),Felony Battery (Dom Strang),1
484,Male,Caucasian,27,0,0,0,8,(F3),arrest case no charge,1
485,Male,African-American,24,0,1,0,2,(F3),Burglary Structure Unoccup,2
